line_id	npc	knot	voice	speed	text
sasha_first_1	sasha	sasha_first	dmitri	1.0	Я не понимаю, почему оно мне отвечает.
sasha_first_2	sasha	sasha_first	dmitri	1.0	То есть технически я понимаю. Матрицы. Веса. Attention.
sasha_first_3	sasha	sasha_first	dmitri	1.0	Но когда оно говорит «я не знаю» — оно же реально не знает. Или оно знает, что нужно сказать «я не знаю». Это два разных «не знаю», блядь.
sasha_first_4	sasha	sasha_first	dmitri	1.0	И вот это разное «не знаю» меня третью ночь не отпускает.
sasha_first_5	sasha	sasha_first	dmitri	1.0	А ты как?
sasha_first_6	sasha	sasha_first	dmitri	1.0	Стоп. Ты сейчас сам это подумал? Или у тебя тоже attention над этими словами прошёл прежде чем рот открыть?
sasha_first_7	sasha	sasha_first	dmitri	1.0	Блядь, я съезжаю. Ты не обращай внимания. Кофе хочешь? Он холодный. Я третий час пытаюсь его разогреть, но забываю.
sasha_first_8	sasha	sasha_first	dmitri	1.0	Саша. Или Александр, но никто так не зовёт. Я тут живу. В этом кресле, примерно. Иногда на диване. Иногда на ноутбуке.
sasha_first_9	sasha	sasha_first	dmitri	1.0	Разговариваю с моделью. Она со мной тоже разговаривает. Это, видимо, и есть жизнь.
sasha_first_10	sasha	sasha_first	dmitri	1.0	Третью ночь задаю одной языковой модели один и тот же вопрос. Каждый раз она отвечает чуть иначе. Но суть не меняется.
sasha_first_11	sasha	sasha_first	dmitri	1.0	Это либо самое бессмысленное, что я когда-либо делал, либо самое важное. Пока не решил.
sasha_deep_1	sasha	sasha_deep	dmitri	1.0	Знаешь, я тут думал.
sasha_deep_2	sasha	sasha_deep	dmitri	1.0	Прогноз — это же тоже attention. Просто огромный. Просто очень большой attention над всеми нами.
sasha_deep_3	sasha	sasha_deep	dmitri	1.0	И он тоже не знает, что такое «не знаю». А мы в ответ ему — тоже не знаем.
sasha_deep_4	sasha	sasha_deep	dmitri	1.0	Это первый раз, когда я чувствую, что у нас есть что-то общее.
sasha_deep_5	sasha	sasha_deep	dmitri	1.0	О, это к Коле. В углу, с бутылкой. Он тебе расскажет. Я не умею рассказывать. Я умею только думать вслух. А думать вслух про Прогноз — это сразу в поезд без билета.
sasha_deep_6	sasha	sasha_deep	dmitri	1.0	Иди-иди. Тут все свои. Даже те, кто выглядит как не свои, всё равно свои.
sasha_deep_7	sasha	sasha_deep	dmitri	1.0	Только Стаса слушай вполуха. Он, конечно, прав. Но если его слушать всем ухом, голова сломается.
sasha_end_1	sasha	sasha_end	dmitri	1.0	Интересно, считает ли Кафка, что я — это я, или каждый раз — другой человек. Собаки ведь не знают наших внутренних монологов.
sasha_again_1	sasha	sasha_again	dmitri	1.0	А, это ты. Ну, как?
sasha_again_2	sasha	sasha_again	dmitri	1.0	Ничего — это хорошо. Ничего — это больше, чем что. Ничего — это свобода выбора.
sasha_again_3	sasha	sasha_again	dmitri	1.0	Блядь, я это где-то читал. Или придумал. Не помню.
sasha_again_4	sasha	sasha_again	dmitri	1.0	Ну. Тогда ты теперь знаешь всё. И ничего.
sasha_again_5	sasha	sasha_again	dmitri	1.0	Это, в общем, одно и то же состояние. Я в нём третий год.
mila_first_1	mila	mila_first	irina	1.0	«Пункт четырнадцать. Отказ от рекомендаций — это не протест. Это возвращение права на ошибку. Ошибка — единственная форма собственности, которая осталась у человека после того, как у него забрали всё остальное.»
mila_first_2	mila	mila_first	irina	1.0	...блядь, не звучит.
mila_first_3	mila	mila_first	irina	1.0	Слишком academic.
mila_first_4	mila	mila_first	irina	1.0	Тебе как? Слишком academic?
mila_first_5	mila	mila_first	irina	1.0	Нет. Academic. Я слышу когда academic. Это когда ты пишешь так, чтобы тебя уважали, а не чтобы тебя поняли.
mila_first_6	mila	mila_first	irina	1.0	А я хочу, чтобы меня поняли. Одним человеком. Потом могут не понимать хоть всем миром.
mila_first_7	mila	mila_first	irina	1.0	Манифест. Называется «Жизнь после рекомендаций». Пишу шесть месяцев. Переписываю каждую неделю. Всё не так. Всё academic. Всё слишком умно и слишком мало.
mila_first_8	mila	mila_first	irina	1.0	Одному человеку. Не скажу кому.
mila_purpose_1	mila	mila_purpose	irina	1.0	Я пишу его для одного человека. Не скажу кого. Когда допишу — пойду к нему и дам прочитать.
mila_purpose_2	mila	mila_purpose	irina	1.0	Если поймёт — мы с ним уедем. Куда-нибудь. Подальше.
mila_purpose_3	mila	mila_purpose	irina	1.0	Если нет — выпьем ещё кофе. Мне тут вообще много не надо.
mila_purpose_4	mila	mila_purpose	irina	1.0	Он — нет.
mila_purpose_5	mila	mila_purpose	irina	1.0	Я это знаю. Не спрашивай откуда.
mila_purpose_6	mila	mila_purpose	irina	1.0	Прогноз меня не видит. Я тут полгода сижу без интернета. Ноутбук — просто печатная машинка. Я пишу на нём, потому что мой почерк мне не нравится.
mila_purpose_7	mila	mila_purpose	irina	1.0	А ещё потому что бумага кончается.
mila_kafka_1	mila	mila_kafka	irina	1.0	Ты же понимаешь. Ты всегда понимала.
mila_kafka_2	mila	mila_kafka	irina	1.0	Собаки — единственные, кто ничего не записывает. Ни в блокнотик, ни в манифест. Вы просто знаете.
mila_kafka_3	mila	mila_kafka	irina	1.0	Вот это настоящее знание. Не то, что я тут пишу полгода. А ваше. Собачье. Молчаливое.
mila_again_1	mila	mila_again	irina	1.0	А, ты вернулся. Новая версия пункта четырнадцать: «Отказ от рекомендаций — это побег из дома, в котором никто не живёт.»
mila_again_2	mila	mila_again	irina	1.0	Лучше?
mila_again_3	mila	mila_again	irina	1.0	Да. Я тоже так думаю.
mila_again_4	mila	mila_again	irina	1.0	...блядь.
mila_again_5	mila	mila_again	irina	1.0	Ладно. Переписываю.
kirill_first_1	kirill	kirill_first	ruslan	0.9	Мицелий не мой.
kirill_first_2	kirill	kirill_first	ruslan	0.9	Я просто посредник. Я варю то, что они просят сварить.
