line_id	npc	knot	voice	speed	text	direction
nikolai_gate_1	nikolai	nikolai_gate	onyx	1.0	Мы тут все потерянные, Кафка. Что уж скрывать — сумасшедшие.	устало, тихо, без пафоса
nikolai_gate_2	nikolai	nikolai_gate	onyx	1.0	Но там, на улице, может, и есть кто-то. Тот, кого ты ищешь. Хозяин твой.	ровно, констатирует факт, не утешает
nikolai_gate_3	nikolai	nikolai_gate	onyx	1.0	Иди. Не найдёшь — вернёшься. Дверь я больше закрывать не буду.	окончательно, отпускает, сухая теплота под усталостью
nikolai_gate_react_1	nikolai	nikolai_gate_react	onyx	1.0	Вернулась. Не нашла ещё? Ничего. Я никуда не денусь.	коротко, чуть теплее обычного, тут же гасит эмоцию
anna_1	anna	anna_fountain	shimmer	1.0	У моей сестры была такая же собака. Чёрно-белая. Кличка — Белка.	тихо, не отрывая взгляда от Кафки
anna_2	anna	anna_fountain	shimmer	1.0	Я думала, что не помню. Но вот — увидела вашу, и вспомнила.	удивлённо-грустно, вспоминает по крупицам, взгляд всё ещё на собаке
anna_3	anna	anna_fountain	shimmer	1.0	Она умерла, когда мне было двенадцать. Я плакала три дня. Потом меня подключили к Прогнозу — и я перестала плакать. Перестала помнить.	медленно, с болью, голос ровный через силу, без слёз в тоне
anna_4	anna	anna_fountain	shimmer	1.0	А сейчас вспомнила — потому что ваша собака на неё похожа. Мне иногда снится место, где пахнет кофе.	голос теплеет; впервые поднимает взгляд на игрока (по-настоящему)
anna_5	anna	anna_fountain	shimmer	1.0	Там кто-то смеётся, кто-то спорит про грибы. Это не по Прогнозу. Я никому не говорила. Но теперь мне кажется, что я знаю, почему.	тихое признание, почти шёпотом, будто себе самой
anna_6	anna	anna_fountain	shimmer	1.0	Извините. Это было избыточно. Но я не хочу извиняться.	неожиданно твёрдо; тянет руку к Кафке и гладит, без сожаления в голосе
